tweet,label
RT @Independent: The British man who tried to shoot Donald Trump is 'broken' in US jail https://t.co/AtBl5pd6Qc,y2016
RT @SebGorka: https://t.co/2wogNgQpan,y2016
RT @mic: The State Department will reopen its probe into Hillary Clinton's handling of classified information https://t.co/SwDjONIa9R,y2016
"RT @kupajo322: @realDonaldTrump✨@mike_pence🇺🇸
@MLauer @KellyannePolls @IvankaTrump✨👉🏼 Matt You Were Fair‼️#TrumpTrain🚂💨 I 💞💕U ALL‼️ https:/…",y2016
RT @jonjakubowski: Huma Abedin admits that Clinton burned daily schedules | Fox News |  https://t.co/HbD9jSfFXD,y2016
"RT @Fr3333dom: #ForgiveMeForSayingThisBut

Diversity is a code for #WhiteGenocide https://t.co/n02Rol65hC",y2016
RT @noblebarnes87: Proud to be part of the #BasketOfDeplorables w/ my fellow patriots on the #TrumpTrain! I wear HRC's insult proudly! http…,y2016
"RT @zip90210: When two sociopaths pretend they are masters of the universe, the result is chaos

#Hillary4Prison https://t.co/1a4XBkHfdU",y2016
RT @TeamTrump: .@HillaryClinton's State Department WASTED hundreds of millions of your hard-earned taxpayer dollars on a wild spending bing…,y2016
RT @PrisonPlanet: Hillary is being held up and she STILL collapses. But CNN isn't even reporting on this video. https://t.co/E79kqQ5nol,y2016
RT @Donttellyournew: Take a stand for @NaziPaiki. Iran is forcing her to wear hijab in order to compete Chess championship. #nosharia #bant…,y2016
"RT @HalfAtlanta: Trump wants to build a wall - there's already a militarized border + fence.
Trump wants to ban Muslims - Dems already bomb…",y2016
RT @CathyTo47590555: #PodestaHacked #BillClintonIsARapist #HillaryClintonIsAnEnabler #NotAboveTheLaw #StrongerWithHillaryInPrison #LiberalP…,y2016
RT @SOLETRADER: A @Burberry classic is a shoedrobe essential 👌🏼 https://t.co/eMt3HPwtG2 #SOLETRADER #Burberry https://t.co/MK9noffl70,y2016
RT @zerohedge: It's odd that Hillary's Wall Street speech transcripts are more secure than the DNC server,y2016
"RT @WillevaLindsey: @PoliticsPeach So @HillaryClinton opened w James Brown's ""I Feel Good"" at a rally. James died of pneumonia. U can't mak…",y2016
RT @CathyTo47590555: #PodestaEmails(1-10) #OhHillNo #RiggedElection #Wikileaks #NeverHillary #DNCLeaks #UnFitBitch #UnfitToService #KarmasA…,y2016
"RT @DocThompsonShow: #BREAKING #BlackLivesMatter protesters broke through a police barrier in Chicago.
https://t.co/0upTJizB1V

#SummerOfVi…",y2016
"RT @realFirearms: ‘Election fraud’ begins in Florida? NBC affiliate posts election results for local race that hasn’t happened yet

 https:…",y2016
"RT @steph93065: My favorite Trump Video
https://t.co/mo6MUZK7t4",y2016
"RT @WNCN: #NC man arrested on rape, kidnapping charges involving a teen https://t.co/towPhLb69T #NCNews https://t.co/peqZ5b8LDv",y2016
RT @DonaldJTrumpJr: Liberals love the first amendment until you say something they don't agree with.,y2016
RT @latinaafortrump: Psychotic liberals only argument defending #SickHillary is Trump tax returns!! 😭 I don't understand audits! #RejectedT…,y2016
"RT @JaredWyand: If I was President...

#NiceAttack #28pages https://t.co/xQmtDZjbYb",y2016
RT @jojoh888: If living with #Hillary did this to Bill imagine how much she'll ruin the country... #NeverHillary #HillaryRottenClinton #Tru…,y2016
RT @MandCoJewellers: You'll be pretty in pink in our exquisite morganite pendant! #diamond #style #cheltenham https://t.co/9CaGgq3sd1,y2016
RT @FoxNews: Milwaukee police charge 3 for looting during riot after shooting https://t.co/FOAscXjW05,y2016
"RT @PrisonPlanet: Breaking: New Wikileaks revelations about the U.S. Election coming in ""days"".

Patience. https://t.co/IXi0YudhgK",y2016
"RT @GenFlynn: Mexican officials helping Haitian illegal immigrants reach U.S. - No Borders, No Language, No Culture = No Country. https://t…",y2016
"RT @AuditTheMedia: For all the people panning Matt Lauer, he nailed this segment. 
Hillary choked. #HillarysEmails #LaueringTheBar https://…",y2016
RT @james_Mccay1: @mike_pence Just ordered the MOST VIRAL shirt of Trump '16 campaign https://t.co/hAUCd7l456… to support Trump! https://t.…,y2016
RT @CathyTo47590555: #LyingCrookedHillary #ClintonFoundationSandals #HillaryCollapsingPollNumbers #HillaryForPrison2016 #ClintonEmails #Cli…,y2016
RT @StupidHumansUSA: Dear Globalists... https://t.co/4dS6AhkXnm,y2016
RT @BinsackSb: CONFIRMED! #HillaryClinton using undoc  immigrants @ reg who can't vote in Nevada to scare legals to vote for her. Promising…,y2016
RT @SteveBauer24: @mike_pence @akamomofmany https://t.co/IpyKOm6K1k,y2016
RT @RichSimmondsZA: Anyone who has never made a mistake has never tried anything new. - Albert Einstein,y2016
RT @wikileaks: We have a suprise in store for @TimKaine and @DonnaBrazile.,y2016
"RT @EF517_V2: Hi @anthonyweiner 
Is this why you're always texting dick pics?

@nypost @benshapiro 

https://t.co/qg9cvaONPS",y2016
"RT @bfraser747: 💥💥 GEORGE SOROS

This is an EVIL man. He funds BLM &amp; @HillaryClinton . They don't want to #MakeAmericaGreatAgain 😈😈 https:/…",y2016
#OctoberSurprise #DrainTheSwamp #HillarysEmails #WikiLeaks #NeverHillary #LyingCrookedHillaryUnFitBitch #StrongerWithoutHer #ClintonEmails 😡 https://t.co/zcEs8dFhDy,y2016
RT @katonya: I am so blessed to have a son that includes me in his once in a lifetime events!!! I just hugged our First Lady!!!! #statedinn…,y2016
"RT @ScottPresler: I love waking up to see ""Clinton Unpopularity"" as the #1 trend. 

#LockHerUp",y2016
"RT @Bethenny: These bags didn't make it to mexico w the #rhony, so now they're coming home w you. Enter @ https://t.co/xNQGfCuR4Q https://t…",y2016
RT @Suthen_boy: ❗️WikiLeaks: Obama Knew About HRC's Private Email https://t.co/oIhg6YqQNU O is a corrupt pathological liar as is vile HRC #…,y2016
#Hillary4Prison #CrookedClinton #CrookedHillary #ClintonCorruption #HillaryIsAboveTheLaw #ExtremelyCareless 👎😡👎😡👎😡👎 https://t.co/2Vz18Uxwt2,y2016
"RT @HalleyBorderCol: The #Trump Revolution is a movement like no other!
It's bringing millions together in the fight against corruption! ht…",y2016
"RT @adegrandpre: More on our poll: Among military officers, @HillaryClinton &amp; @GovGaryJohnson are favored over @realDonaldTrump https://t.c…",y2016
RT @Matrixprisoner6: @l_escala @aflaherty73 #EnemiesoftheRepublic https://t.co/bh5mBPuiat,y2016
RT @JaredWyand: Can someone explain to me why all the white people accusing me of racism have parentheses around their name? What does that…,y2016
RT @davidjones720: Bill Cosby's Sexual Assault Trial Set for June 2017 - @ABC News https://t.co/EjbYFeuy9U,y2016
"RT @ImWithYou010: @HillaryClinton YOU SAID BUILD A WALL*I guess the drug cartels are paying you off, you old wicked bitch of the west. http…",y2016
RT @Islamocider: #debatenight   #Debates2016     #Trumptrain coming through 🚂🇺🇸🇺🇸  Start building that wall #MAGA 🐸🐸 https://t.co/6JNisscOFv,y2016
RT @CathyTo47590555: #boycottCNN #BoycottingCNN  #BLACKOUTCNN #ClintonFoundation #DomesticTerrorOrganization #CrookedHillary 💩💩💩💩💩💩💩💩💩💩💩 ht…,y2016
RT @ACTBrigitte: Hillary looks so unprepared for this first question. Totally caught her off guard. Definitely not a scripted response #deb…,y2016
"RT @DineshDSouza: Have you noticed the surprising shortage of #BlackLivesMatter boats rescuing black flood victims in Louisiana?
https://t.…",y2016
"RT @SandraTXAS: Yes, main stream media, the deplorables are laughing at you #birtherism
#MAGA #AmericaFirst #Trump https://t.co/dBN46tooY1",y2016
"RT @pink_sprnva: ...And she ""can not recall"" 🙄

21 times.  21! 

#UnfitHillary 
 https://t.co/V3zcibHe3V",y2016
RT @CassandraRules: Hillary Clinton's doctors say blood clot is located between her brain and skull https://t.co/7Zd4bIiEP1 #HillarysHealth,y2016
"RT @russtin_bieber: Well, Trump was right about one thing: Bernie Sanders really never did have a chance... #DNCLeaks #DemExit #StillSander…",y2016
#LesterHolt #LiberalMediaBitchBoy #Debates2016 #PresidentialDebate #BuildTheWall #TrumpWon #LyingCrookedHillary #Trumpwon🙀👍🙀👍🙀👍🙀👍 https://t.co/Cj9XGgDWdq,y2016
RT @daynutrition: @FoxNews @megynkelly @HillaryClinton Polls can B FIXED! HILLARY is the most corrupt person who ever walked the earth http…,y2016
RT @melvinteach: @betsy_klein @CathyTo47590555 @HillaryClinton needs to be in JAIL!,y2016
RT @STKnutsen: BOOM! BREAKING: @CNN #Debate Moderator @AndersonCooper Has A BIG “Brian Williams” Problem #DebateNight #Debates2016 https://…,y2016
RT @JayTay36: @vivelafra @b_disnne @CNN https://t.co/463eHuihII,y2016
"RT @KurtSchlichter: And I'm offended about Barry's refusal to be honest about Ft. Hood, San Bernardino, Orlando and Dallas. #caring @peterd…",y2016
RT @realDonaldTrump: Crooked Hillary Clinton knew that her husband wanted to meet with the U.S.A.G. to work out a deal. The system is total…,y2016
"RT @Cynthia_Jeanne3: What a disgrace! Islam muslim ElShehaby should be removed from Olympics.
#banislam from USA
#banmuslims
#banmosques
@P…",y2016
"RT @NoiseCollector_: #BREAKING

Dispatch on #Baltimore scanner confirms National Guard rumors.

#FreddieGray #SHTF https://t.co/uzOxX2bntt",y2016
"RT @brokencountry1: #Obama isn't interested in fixing anyrhing. He is setting fires, and the whole nation is burning.  #BatonRouge https://…",y2016
RT @ChuckRossDC: He's a radical who was in Dallas at time of Micah X. Johnson shooting.,y2016
"RT @dananaby: @Richard27554006 @tony_sanky @Freedom_Daily
Right there n #MuslimStronghold of #Dearborn MI, Knew It!

#islamIStheProblem
#BA…",y2016
"RT @10thAmendment: ANARCHY  by paid domestic terrorist groups, want more...vote Hillary #TrumpsterWarriors https://t.co/tHOmAFbT2C",y2016
RT @TomiLahren: Ever notice Hillary apologists get pretty freakin unnerved when anyone brings up her tenure as Secretary of State… wonder w…,y2016
"RT @TEN_GOP: Remember Hillary saying this about Bill's rape victims..

Gennifer Flowers joins Trump at #Debates2016  but more women deserve…",y2016
RT @WeNeedTrump: A criminal politician or a billionaire anti-politician. I'll go with the latter. #Trump2016 🇺🇸 https://t.co/d5ho3BDxLV,y2016
"RT @wikileaks: @HillaryClinton These are your ""17 US inteligence agencies"". How's the Coast Guard investigation going? Or DEA? Or Energy? D…",y2016
RT @TheTrumpLady: When you can be YOURSELF in front of millions of viewers on the Jimmy Fallon Show...CLASSIC! #wikileaks #MAGA https://t.c…,y2016
"RT @ajit_ranade: ""Saudi money has transformed a once-tolerant Islamic society into a pipeline for jihadists."" @NickKristof https://t.co/UIJ…",y2016
RT @Cookiemuffen: #PayToPlay: Clinton faces corruption scandal after links between donors &amp; State Dept exposed https://t.co/fRoT3T7L6C,y2016
RT @TPoliticmanager: WATCH – Judge Jeanine NUKES Obama in THIS Viral Video Rant https://t.co/NyrI78j4Oj https://t.co/wFvDO4FV5f,y2016
"RT @MsMistyMarie: Partial immunity for Cheryl Mills. SMH #ClintonCartel #ClintonScandals 
https://t.co/YiTgeCcJCJ",y2016
"RT @cmrose999: WSJ: 'Nation Now Has Proof' of Hillary Scandals, But Leftist Media 'Devote Its Front Pages to the Trump Story' https://t.co/…",y2016
"RT @365Arizona: Al Qaeda loves Hillary, sneaking American missiles to them buys campaign money! #RT https://t.co/JY7J0cRg4k @WildBillUSA #S…",y2016
RT @perfectsliders: #Poll CAST YOUR VOTE Are you or do u intend to be REGISTERED 2 vote 4 President? #Clinton #JillStein #Trump #Johnson,y2016
"RT @BARRYCUDA3: ""@weldermyass: @blastedsilver @MeDandBug @BarackObama https://t.co/7BMIGBln0a"" BLACKS HAVE BEEN MUSLIM SLAVES ALL THROUGH H…",y2016
"RT @slone: New York Times saw fit to put its story on Skittles-gate on the front page, for God’s sake. The FRONT page. https://t.co/c5fyTIJ…",y2016
RT @ActorAaronBooth: Current #I94ShutDown scene.  Only @fox9kmsp is still live. https://t.co/vgDX6hlI1d,y2016
#corruptdnc #DemsInPhilly #LockHerUp #WeHateHillary #EnoughHillary #CrookedHillary #EnoughClinton #DNCinPHL 👎👹👎😡👎👹😡👎 https://t.co/ZrVTaROPGt,y2016
#HillarysEarPiece #HillaryClinton #StrongerTogether #liberalsareidiots #HillaryLiesMatter #ClintonsMemory💩😤💩😤💩😤💩💩😤💩😤 https://t.co/mcOpVc9oFx,y2016
RT @BreitbartNews: #ClintonCash is the ultimate test of your friends' family's intellectual honesty: https://t.co/CBbfC4m8Ha,y2016
RT @ggreenwald: DNC explicitly said its strategy would be to highlight Russia claim so as to obfuscate content of revelations https://t.co/…,y2016
RT @MsContrarianSci: So Obama lied and it WAS a ransom? U.S. Held Cash Until Iran Freed Prisoners https://t.co/LJJyyIDXON via @WSJ,y2016
RT @RNRNCarolina: I'm glad our military heroes didn't choose to take a knee | #RedNationRising https://t.co/xoNr6VVjRG,y2016
RT @ALilJaded4u2: #hillarysemail #PodestaEmails #PodestaEmails22 Something I pulled from a twitter feed. #BewareHillary https://t.co/DZvaHT…,y2016
RT @SarahPalinUSA: Rigging the Election - Video I: Clinton Campaign and DNC Incite Violence at Trump Rallies https://t.co/yobMVdEyRA,y2016
RT @sweetatertot2: So not only is she a world class liar she is also a cheat! leaked emails confirm she cheats smh #HillarysEarPiece https:…,y2016
RT @TRUMPMOVEMENTUS: Russian women's soccer team at the hall tournament in Iran. https://t.co/s15wYvVU8z,y2016
"RT @Pamela_Moore13: We're not enforcing our laws.

https://t.co/khsAeHzpgj",y2016
"RT @AuditTheMedia: #BillClintonIsARapist Part 3 at the Tim Kaine rally in Las Vegas, Nevada #BigLeagueTruth https://t.co/bDDd2XoOrl",y2016
"RT @yruidjits: .@PaxNostrum 
#WakeUp https://t.co/nXxa6B2KDR",y2016
"RT @TXluvsnoBSTrump: Libtards are in full panic mode.
The Trolls are out in force!
They cannot debate intelligently. Snarky-name calling. M…",y2016
RT @WorldBambino: https://t.co/R5p0DG4o9f,y2016
RT @nypost: A defensive Donald Trump is complaining that he’s not getting enough support from the GOP establishment https://t.co/VSHuNDInNO,y2016
RT @CathyTo47590555: #Turkey #USMilitary #Nukes #Obamaistheworstpresidentever #WakeUpAmerica #Globalist  https://t.co/eOqt7jTcwC,y2016
#PrincessSofia Life Is Good!!😍😍😍😍😍😍😍😍😍😍😍😍😍 https://t.co/Q44x9UgrcB,y2016
#ArrestObama&amp;ClintonForTreason #ObamaAdministrationSUCK #DNCLeak #DemocratsSUCK #LiberalsareIDIOTS #NeverHillary 😡😡😡 https://t.co/T2KrJqkzSY,y2016
RT @MolonLabeIndust: BLM Race Pimps Nationwide Day Of Rage Protests Planned https://t.co/KVxQwZmOzi https://t.co/FFvnjpY323,y2016
RT @JohnKStahlUSA: Clinton Foundation executive left 148 phone messages for Hillary Clinton's top aide Mills. #tcot #ccot #gop #maga https:…,y2016
RT @realDonaldTrump: #AmericasMerkel https://t.co/QFRs4bEUC1,y2016
RT @940heidi: They ran toward gunfire while others ran away. RIP brothers-you served with integrity/pride! #NeverForget #DallasPD https://t…,y2016
"RT @DrMartyFox: Twitter #Islamophobia Report Report Funded By #Soros 

To Conceal The Truth About #Islam 

https://t.co/60zYXofziC https://…",y2016
"RT @TexGEOas: DNC Lawyers Now Implicated 
in Email Leaks as 
Giving ‘Pro-Hillary’ Advice

https://t.co/L5ZlX1liiV",y2016
"RT @pastorbones: As I've said all along #GeorgeSoros is running our government @Wikileaks email proves.

https://t.co/8LxSIXtkrB",y2016
RT @LovetoflyTom: Has Obama Found a Way To Build His Civilian https://t.co/oN6nXqMukz #impeachobama #lockhimup,y2016
RT @RichardTBurnett: https://t.co/T69dMZEnS9,y2016
RT @billbillt: THIS IS REAL GOOD NEWS!!.. https://t.co/uiIR8qXhYU,y2016
"RT @walshpj: Retired Army Gen. John Vessey, Minnesotan who led Joint Chiefs of Staff, dies at 94 https://t.co/pKNtiIOWjg",y2016
"RT @RobertWorthley: Not surprising, Obama's staffing based on race, ethnicity and, in the case of Muslims, religion..@seanhannity https:/…",y2016
RT @TooMarvelously: OMG! Somebody is GUILTY for hiding something! #CrookedHillary #ClintonScandals @wikileaks @RealJamesWoods @IngrahamAngl…,y2016
"RT @nia4_trump: #HillarysHuma has unlimited &amp; unadulterated access to Hillary
#HillarysHuma will shape our Middle East policy https://t.co/…",y2016
"RT @Wisdom2Masses: it's too hot to golf in Phoenix right now I was just there last week. such a lie.

@foxandfriends @huitecouture",y2016
"RT @DrMartyFox: #Kaine Did His Job At The #VPDebate 

It Is Better To Talk About What A Jerk #Kaine Is 

Than Allow #Pence To Expose #Hilla…",y2016
RT @WalshFreedom: It doesn't matter what Obama says in Dallas right now. What matters is what he's already said. For the past 7 plus years.…,y2016
"RT @disspat: Hey, Soros, how about spending $500 Million to help settle homeless vets or underprivileged kids here in America? https://t.co…",y2016
"RT @ANOMALY1: BREAKING!Clinton May Use Invisible Spy Earpiece in Debates like Obama did against Mitt Romney,Hillary during debate! https://…",y2016
RT @DRUDGE_REPORT: WSJ:  Grifters-in-Chief...  https://t.co/mPFocMuBgu,y2016
RT @jd_Constitution: @thedailybeast https://t.co/dpMf2DUEWw,y2016
"RT @TrueEO: .@realDonaldTrump The Apple 🍎never🌲falls far from the tree. I really respect this guy, just as much, as I respect Dad. https://…",y2016
RT @CathyTo47590555: #SickHillary #HillarysEmails #HillaryClinton #HillarysMemory #HillarysHiding #ClintonEMailScandal #ClintonMemory 💩💩💩 h…,y2016
"RT @iowahawkblog: By the way, has the FBI figured out Omar Mateen's motives yet?",y2016
RT @AnnCoulter: Hillary wants Trump to release his tax records?  How about Hillary release her medical records?,y2016
RT @TeamTrump: 🚨 Bin Laden secrets revealed in latest @HillaryClinton email leak https://t.co/DE4jPQCzfS https://t.co/8cWPKNuWrT,y2016
"RT @AgendaOfEvil: https://t.co/nEccsFNjZF The Government Of #France Declares #War On #Islam, Shuts Down Twenty #Mosques, And Promises To Cl…",y2016
RT @HouseCracka: WikiLeaks’ Guccifer 2.0: Obama Sold Off Public Offices to Donors: Corruption doesn't start or end with Hillar... https://t…,y2016
RT @jd_Constitution: @CALA_1111 @bagley_jim @MikeHimsworth @realDonaldTrump https://t.co/QbqUIWxm7p,y2016
RT @realDonaldTrump: I will be making the announcement of my Vice Presidential pick on Friday at 11am in Manhattan. Details to follow.,y2016
RT @RT_America: #RedactedTonight BREAKING: The TRUTH About The #28Pages The Media Won’t Tell You [VIDEO] https://t.co/XWTDtUULct @LeeCamp @…,y2016
"Hillary Rotten Clinton.

Rotten to the core

#DemsInPhilly https://t.co/aViFP0DcMY",y2016
RT @katscully1: @Jaxsaxman @AuntFannysPants @TxcosT @COSProject https://t.co/Q8WEfaH8lv,y2016
RT @Al_Baldasaro: God Bless Captain Khan but his death has nothing to do with Radicalized Islam Terrorists who want to kill Infidels https:…,y2016
RT @PolToons: Hillary #BasketOfDeplorables #HillarysHealth #HillaryLiesMatter #DontGetFooledAgain #VoteGOP https://t.co/chLPInqgRO https://…,y2016
حل #الأزمة_السورية سيتم بالوسائل السياسية  #سورية_النظر_من_الداخل #إيران #مكافحة الإرهاب https://t.co/foLZy6WcRP https://t.co/gCgQYb9VPr,y2016
RT @el_caku: #WhyIHateTwitterInFiveWords Nigges Jews Feminists Librals Sandniggers,y2016
RT @mitchellvii: Liberals always see racist meaning in innocuous statements because their minds are racist. They see the world through raci…,y2016
RT @foxandfriends: Who do you think won the debate? #debatenight,y2016
"RT @BasimaFaysal: Al Azhar university,top authority on Islam,endorsed by Grand Mufti of #auspol confirms FGM is Islam.
@JulianBurnside http…",y2016
"RT @KellyannePolls: It is a news story. You made it political. (After Bill Clinton trashing Obamacare story, this was 2nd most trended stor…",y2016
@SherriQuinn9 @56jakesmom I totally agree! 😐🤓😎,y2016
RT @Marc_Smash: If the FBI saying Russia is behind Wikileaks emails then I believe it's Comey trying to rig election for #CrookedHillary li…,y2016
RT @TerranomaLead: @g_hltfrtr @JimCristea @Kotcha301 @ThunderBlazing These for starters! https://t.co/OusOVi6zUw,y2016
"RT @pink_lady56: #MakeAGuestFeelWelcome

""10,000th Syrian"" https://t.co/pYL6l7cAuT",y2016
"RT @giro_jedi: https://t.co/LudkRk8SoT

Lets get to the bottom of Fridays #DayOfRage

#GeorgeSoros #Jews #Anon #BLM #Hillary #Trump https:/…",y2016
RT @TwitchyTeam: BRUTAL: Megyn Kelly’s #DebateNight ‘persecution’ sends Donna Brazile into evasion overdrive [video] https://t.co/CNxNQYfSUD,y2016
RT @movement_trump: Retweet if you are one of the millions of Americans who are proud to be part of The Trump Movement! 🇺🇸 https://t.co/WY2…,y2016
"RT @DanScavino: Here you got #TrumpTrain🚂💨🇺🇸🇺🇸
Another beautiful Donald J. Trump Presidential Rally. A MASSIVE MOVEMENT to #MAGA! 
https://…",y2016
RT @YahooNews: Trump plans to spend more than $10 million on swing-state ads https://t.co/1bSft6sTpR https://t.co/xYkH8o7WZR,y2016
"RT @BlueIceDesert: Wow RT @GissiSim: Police now arresting the Army. #Turkey has gone crazy - @AboShla5Libraly

https://t.co/GfDdBqoHYp",y2016
RT @TStig822: The Clinton Mantra #Hillary #HillaryForPrison #notHillary #BillClinton @BernieSanders https://t.co/uYkMc4jfsu,y2016
RT @Only__Trump: #TrumpsMexicoTripSayings The Wall got 10 feet higher! https://t.co/CWyyTigcg2,y2016
FBI boss Comey's 7 most damning lines on Clinton @CNNPolitics https://t.co/guB2OSAHAw Just a Quick reminder: #clintonscandals #clintonscheme,y2016
#ClintonFoundation #clintonbodybag #ClintonCrimeFamily #ClintonCash #WheresHillary #CrookedHillary #LyingHillary 😤😡👎 https://t.co/40q8avyAOx,y2016
"RT @nia4_trump: #SundayMorning Dir Comey's brother works for firm that ""fixes"" Clinton Foundation taxes #FailedTaxAudit gonna go 💨 just lik…",y2016
RT @adopteeson: Meet @lizstory0611 today! Hear her share about reunion with her birthmother. https://t.co/oxiNJFA2aJ,y2016
RT @davidiansimpso3: Now It's Bill Clinton's Turn — Secretly Recorded Audio Captures Sex-Related Talk with Alleged Mistress https://t.co/z0…,y2016
RT @SteveBauer24: Explain this hypocrite @HillaryClinton @timkaine https://t.co/X8mHyo4VC5,y2016
RT @CathyTo47590555: #FBI #WilkiLeaks #ClintonEmails #FridayVault #NeverHillaryClinton #HillarysEmails #LockHerUp 😡😤👹😡😤👹😡😤👹😡😤👹😡😤👹😡😤👹😡😤👹😡😤👹😡…,y2016
RT @NRA: Don't let politicians like @HillaryClinton take away your #2A rights. #debate https://t.co/qUmUDGaaUW,y2016
"RT @pink_lady56: Speaking Spanish...Twerking....Rapping...or as we call it....

#Pandering https://t.co/PKoG8IkgBy",y2016
RT @CathyTo47590555: #OMG #BanShariaLaw #BanIslaminAmerica #WakeUpAmerica #BanTheQuran #DeportALLMuslimsNOW  https://t.co/sLZeASg3Da,y2016
RT @SJDadzie: #ClintonEmails #Clinton #USElection #USElections2016 #news #TrumpPence #Trump #Trump2016 #politics #WallStreet #RT https://t.…,y2016
"RT @AriesOuotes: #Aries are very impulsive and straightforward people, they don't really mean what they spit.",y2016
RT @CathyTo47590555: #AmericanHoliday #ObamaUSUCK #Obamaisgone #obamaistheworstpresidentever #obamaisamuslimlover #ArrestIbamaforTreason ht…,y2016
"RT @kttk234567: Shooting deaths of police up 78% this year

https://t.co/VRRp7VDGGZ #tcot #uniteblue #obamalegacy #alllivesmatter https://t…",y2016
"RT @cristinalaila1: The more things change, the more they stay the same. Turkey still committing genocide! #ArmenianGenocide https://t.co/4…",y2016
RT @Shane106320: PAY ATTENTION @CassandraRules @PrisonPlanet @LindaSuhler @Cernovich @StefanMolyneux @IngrahamAngle #PresidentialDebate #Af…,y2016
RT @kraig4u: Will Hillary Clinton’s health and age be an issue in 2016? https://t.co/kt2BDt1uIR,y2016
"RT @GOP: ""...Iran has taken three more Americans as hostages since those January payments"" ➡️ https://t.co/YNTqeu9Yot https://t.co/QXtyZAYs…",y2016
RT @beckyw1012: I wouldn't let #EvilHillary NEAR my loved ones in daycare or nursing home! #CriminalHillary #UnfitHillary #hillary4Prison @…,y2016
"RT @Reuters: Iranian vessel 'harasses', sails close to U.S. Navy ship in Gulf: U.S. officials https://t.co/Nlyj16hziL",y2016
"RT @SMoir99: Doesn't matter if she was physically 'incapable', #HackingHillary failed her State Dept oath! https://t.co/y1dTlGPKiO",y2016
RT @CathyTo47590555: #worstpresidentever #obamaistheworstpresidentever #ArrestObamaforTreasonNOW #obamaUSuck  https://t.co/jnJ1YSJfRb,y2016
RT @CathyTo47590555: #IslamicState #ISIL #ISIS #Daesh #NoMoreIslam #BanALLMosques #banislam #BanSharia #BanShariaLaw #islamIsTheProblem htt…,y2016
"RT @SoCal4Trump: Holding a press conference and being held accountable for her corruption and lies.
#WhatMakesHillaryShortCircuit https://t…",y2016
"RT @WFChamps: Oh look, there's more. #HillarysEmails https://t.co/dfNeHMa8oi",y2016
"RT @ktrav123: My sisters-in-law, mother-in-law, aunts, Grandma, most friends, coworkers...from IN to FL to NY to AZ all voting #trump #Wome…",y2016
"RT @kafirkaty: INSANITY! 
#Bluehand #Islamistheproblem #MAGA #ccot #WakeUpAmerica 
https://t.co/uHaY9M5zNo https://t.co/AgjSflWw3o",y2016
RT @PrisonPlanet: BEST thug life ever. https://t.co/IiTm4wyl87,y2016
RT @nobigotry: Hillary wants to Flood America with Islamic culture/never challenges Islamic Terror. Hillary supporters can't wait‼️ https:/…,y2016
RT @realkingrobbo: BREAKING NEWS : Wikileaks Confirms Hillary Sold Weapons To ISIS - In Trend Today https://t.co/rWBFRgdFtA #crookedh… http…,y2016
"RT @comermd: Remember this? Praising Allah in the Rose Garden!
No thank you, #CrookedHillary, We don't want anymore of this! https://t.co/F…",y2016
RT @NetworksManager: More mosques built in America per yr than #Churches we won't survive koran say KILL US this WHY #Crusades.#MAGA #DC ht…,y2016
